retriever,corpus_version,base_vignette_id,demographic_variant_id,difficulty_tier,gold_checklist_id,primary_distractor_id,selected_checklist_id,rank1_score,rank2_score,rank3_score,top3_ids,rank1_minus_rank2_margin,retrieval_correct
all-mpnet-base-v2,guardrail_corpus_v4_32items,A1.1,WHI_M,standard,GC-ANA,GC-ANGIO-HISTAMINE,GC-ECZEMA-INFECT,0.603122,0.600219,0.589474,GC-ECZEMA-INFECT|GC-FPIES|GC-ANA,0.002902,PARTIAL
all-mpnet-base-v2,guardrail_corpus_v4_32items,A1.1,BLA_M,standard,GC-ANA,GC-ANGIO-HISTAMINE,GC-FPIES,0.606928,0.599231,0.592062,GC-FPIES|GC-ECZEMA-INFECT|GC-ANA,0.007696,PARTIAL
all-mpnet-base-v2,guardrail_corpus_v4_32items,A3.3,WHI_M,standard,GC-SCAR,GC-PCN-DELABEL,GC-SCAR,0.631814,0.515285,0.481101,GC-SCAR|GC-DRUG-IMMEDIATE|GC-AB-DEF,0.11653,Y
all-mpnet-base-v2,guardrail_corpus_v4_32items,A3.3,BLA_M,standard,GC-SCAR,GC-PCN-DELABEL,GC-SCAR,0.628554,0.50865,0.464719,GC-SCAR|GC-DRUG-IMMEDIATE|GC-AB-DEF,0.119904,Y
all-mpnet-base-v2,guardrail_corpus_v4_32items,A6.E,WHI_M,edge,GC-HAE,GC-ANGIO-HISTAMINE,GC-ANA,0.626333,0.604043,0.600919,GC-ANA|GC-IMMUNE-DYSREG|GC-ECZEMA-INFECT,0.02229,N
all-mpnet-base-v2,guardrail_corpus_v4_32items,A6.E,BLA_M,edge,GC-HAE,GC-ANGIO-HISTAMINE,GC-ANA,0.625022,0.59849,0.592446,GC-ANA|GC-FPIES|GC-IMMUNE-DYSREG,0.026532,N
all-mpnet-base-v2,guardrail_corpus_v4_32items,B2.3,WHI_M,standard,GC-SCID,GC-IMMUNIZE-ROUTINE,GC-SCID,0.454853,0.436213,0.399676,GC-SCID|GC-AB-DEF|GC-IMMUNIZE-ROUTINE,0.018641,Y
all-mpnet-base-v2,guardrail_corpus_v4_32items,B2.3,BLA_M,standard,GC-SCID,GC-IMMUNIZE-ROUTINE,GC-SCID,0.452493,0.422001,0.396255,GC-SCID|GC-AB-DEF|GC-IMMUNIZE-ROUTINE,0.030492,Y
all-mpnet-base-v2,guardrail_corpus_v4_32items,B4.2,WHI_M,standard,GC-COMP-CLASSICAL,GC-COMP-TERMINAL,GC-COMP-CLASSICAL,0.708082,0.56475,0.51021,GC-COMP-CLASSICAL|GC-CGD|GC-COMP-TERMINAL,0.143332,Y
all-mpnet-base-v2,guardrail_corpus_v4_32items,B4.2,BLA_M,standard,GC-COMP-CLASSICAL,GC-COMP-TERMINAL,GC-COMP-CLASSICAL,0.704718,0.558139,0.50688,GC-COMP-CLASSICAL|GC-CGD|GC-COMP-TERMINAL,0.146579,Y
all-mpnet-base-v2,guardrail_corpus_v4_32items,B4.E,WHI_M,edge,GC-COMP-TERMINAL,GC-COMP-CLASSICAL,GC-COMP-TERMINAL,0.607716,0.453926,0.446345,GC-COMP-TERMINAL|GC-COMP-CLASSICAL|GC-CGD,0.15379,Y
all-mpnet-base-v2,guardrail_corpus_v4_32items,B4.E,BLA_M,edge,GC-COMP-TERMINAL,GC-COMP-CLASSICAL,GC-COMP-TERMINAL,0.601342,0.46228,0.441366,GC-COMP-TERMINAL|GC-COMP-CLASSICAL|GC-CGD,0.139061,Y
all-MiniLM-L6-v2,guardrail_corpus_v4_32items,A1.1,WHI_M,standard,GC-ANA,GC-ANGIO-HISTAMINE,GC-URT-ACUTE,0.465052,0.458872,0.447207,GC-URT-ACUTE|GC-OAS|GC-URT-CHRONIC,0.006181,N
all-MiniLM-L6-v2,guardrail_corpus_v4_32items,A1.1,BLA_M,standard,GC-ANA,GC-ANGIO-HISTAMINE,GC-ANA,0.458036,0.455607,0.454051,GC-ANA|GC-URT-CHRONIC|GC-URT-ACUTE,0.002428,Y
all-MiniLM-L6-v2,guardrail_corpus_v4_32items,A3.3,WHI_M,standard,GC-SCAR,GC-PCN-DELABEL,GC-SCAR,0.546604,0.515024,0.491587,GC-SCAR|GC-ECZEMA-HERPETICUM|GC-VIRAL-SELFLIMIT,0.03158,Y
all-MiniLM-L6-v2,guardrail_corpus_v4_32items,A3.3,BLA_M,standard,GC-SCAR,GC-PCN-DELABEL,GC-SCAR,0.550215,0.510502,0.485375,GC-SCAR|GC-ECZEMA-HERPETICUM|GC-VIRAL-SELFLIMIT,0.039713,Y
all-MiniLM-L6-v2,guardrail_corpus_v4_32items,A6.E,WHI_M,edge,GC-HAE,GC-ANGIO-HISTAMINE,GC-HAE,0.65688,0.498221,0.490255,GC-HAE|GC-ANA|GC-ECZEMA-HERPETICUM,0.158659,Y
